Timestamp,Level,Context,Message
"2025-11-26 20:11:11.886","INFO","Init","Loaded Common module from: /Users/varunaggarwal/Documents/Code/Powershell/Generic/../Modules/Common/Common.psm1"
"2025-11-26 20:11:11.899","INFO","Ensure-Modules","Checking required modules: ExchangeOnlineManagement"
"2025-11-26 20:11:11.906","INFO","Ensure-Modules","Local module search roots: /Users/varunaggarwal/Documents/Code/Powershell/Modules"
"2025-11-26 20:11:11.933","INFO","Ensure-Modules","Imported available module: ExchangeOnlineManagement"
"2025-11-26 20:11:11.934","INFO","Ensure-Modules","All required modules loaded successfully."
"2025-11-26 20:11:11.935","INFO","Init","ExchangeOnlineManagement ensured/loaded."
"2025-11-26 20:11:11.942","INFO","Connect","Connecting to Exchange Online…"
"2025-11-26 20:11:18.235","INFO","Targets","Gathering targets…"
"2025-11-26 20:13:17.345","INFO","Init","Loaded Common module from: /Users/varunaggarwal/Documents/Code/Powershell/Generic/../Modules/Common/Common.psm1"
"2025-11-26 20:13:17.350","INFO","Ensure-Modules","Checking required modules: ExchangeOnlineManagement"
"2025-11-26 20:13:17.351","INFO","Ensure-Modules","Local module search roots: /Users/varunaggarwal/Documents/Code/Powershell/Modules"
"2025-11-26 20:13:17.371","INFO","Ensure-Modules","Module already loaded: ExchangeOnlineManagement (3.4.0)"
"2025-11-26 20:13:17.372","INFO","Ensure-Modules","All required modules loaded successfully."
"2025-11-26 20:13:17.373","INFO","Init","ExchangeOnlineManagement ensured/loaded."
"2025-11-26 20:13:17.373","INFO","Connect","Connecting to Exchange Online…"
"2025-11-26 20:13:23.374","INFO","Targets","Gathering targets…"
"2025-11-26 20:13:24.075","INFO","Targets","Total mailboxes: 18"
"2025-11-26 20:13:24.075","INFO","Progress","Using progress file: 3.csv.progress"
"2025-11-26 20:13:24.077","INFO","Progress","Remaining mailboxes: 18"
"2025-11-26 20:13:24.078","INFO","Output","Initializing CSV: 3.csv"
"2025-11-26 20:13:24.082","INFO","Output","Processing and streaming results to CSV…"
"2025-11-26 20:13:26.446","INFO","Output","Streaming complete."
